date,LCGFX,MRLIX
1/29/2016,-0.061437,-0.068841
2/29/2016,-0.015106,0.009728
3/31/2016,0.066462,0.067437
4/29/2016,-0.003835,-0.016245
5/31/2016,0.028874,0.018349
6/30/2016,-0.013096,-0.021622
7/29/2016,0.054028,0.046961
8/31/2016,-0.014388,-0.00088
9/30/2016,0.002737,0.003521
10/31/2016,-0.025478,-0.015789
11/30/2016,0.009337,0.069519
12/30/2016,0.000491,0.006263
1/31/2017,0.025234,0.030483
2/28/2017,0.035552,0.040263
3/31/2017,0.013204,0.005529
4/28/2017,0.034752,0.012569
5/31/2017,0.028547,0.003103
6/30/2017,-0.016327,0.001547
7/31/2017,0.016598,0.019305
8/31/2017,0.021224,-0.001515
9/29/2017,0.018385,0.025797
10/31/2017,0.05259,0.01997
11/30/2017,0.045488,0.037708
12/29/2017,0.002014,0.010948
1/31/2018,0.07874,0.058571
2/28/2018,-0.009954,-0.039811
3/29/2018,-0.011394,-0.02811
4/30/2018,0.016949,-0.005061
5/31/2018,0.037333,0.015988
6/29/2018,0.008997,-0.002146
7/31/2018,0.018471,0.036559
8/31/2018,0.043152,0.033195
9/28/2018,0.006595,0.008701
10/31/2018,-0.073258,-0.074983
11/30/2018,0.029563,0.026542
12/31/2018,-0.082495,-0.088966
1/31/2019,0.078199,0.108341
2/28/2019,0.041026,0.039792
3/29/2019,0.031668,0.000832
4/30/2019,0.04502,0.054863
5/31/2019,-0.031984,-0.059102
6/28/2019,0.060688,0.064489
7/31/2019,0.026065,0.021243
8/30/2019,-0.004337,-0.009245
9/30/2019,-0.009956,0.012442
10/31/2019,0.017599,0.021505
11/29/2019,0.031501,0.038346
12/31/2019,0.033669,0.023967
1/31/2020,0.02656,0.007728
2/28/2020,-0.063177,-0.072853
3/31/2020,-0.091843,-0.133995
4/30/2020,0.144272,0.137536
5/29/2020,0.064895,0.072208
6/30/2020,0.031341,0.03054
7/31/2020,0.069218,0.069149
8/31/2020,0.080526,0.071073
9/30/2020,-0.038967,-0.02787
10/30/2020,-0.040547,-0.038225
11/30/2020,0.116218,0.095813
12/31/2020,0.046569,0.038404
1/29/2021,-0.03147,-0.024967
2/26/2021,0.043162,0.025606
3/31/2021,0.011158,0.046649
4/30/2021,0.068506,0.054614
5/28/2021,-0.001721,-0.000595
6/30/2021,0.049138,0.032758
7/30/2021,0.036976,0.043253
8/31/2021,0.027338,0.025428
9/30/2021,-0.051292,-0.055526
10/29/2021,0.09065,0.070776
11/30/2021,0.002609,0.001599
12/31/2021,0.01617,0.057351
1/31/2022,-0.10466,-0.078646
2/28/2022,-0.039676,-0.048014
3/31/2022,0.02088,0.036115
4/29/2022,-0.137511,-0.072716
5/31/2022,-0.014632,0.001296
6/30/2022,-0.084997,-0.074434
7/29/2022,0.128707,0.08951
8/31/2022,-0.062469,-0.042362
9/30/2022,-0.102062,-0.075737
10/31/2022,0.047703,0.083394
11/30/2022,0.068016,0.063588
12/30/2022,-0.069345,-0.041692
1/31/2023,0.084379,0.046544
2/28/2023,-0.036803,-0.020889
3/31/2023,0.069869,0.041294
4/28/2023,0.030102,0.013219
5/31/2023,0.039128,-0.001305
6/30/2023,0.046711,0.062051
7/31/2023,0.024135,0.026445
8/31/2023,-0.001334,-0.016177
9/29/2023,-0.047195,-0.042022
10/31/2023,-0.006075,-0.000636
11/30/2023,0.112835,0.082061
12/29/2023,0.04098,0.046539
1/31/2024,0.041396,0.026667
2/29/2024,0.076773,0.05549
3/28/2024,0.024249,0.026846
4/30/2024,-0.04629,-0.053922
5/31/2024,0.03631,0.020725
6/28/2024,0.061494,0.029893
7/31/2024,-0.011788,0.008762
8/30/2024,0.002386,0.013572
9/30/2024,0.023121,0.02196
10/31/2024,-0.002659,-0.005241
11/29/2024,0.06098,0.091675
12/31/2024,-0.024283,-0.034984
1/31/2025,0.018411,0.051152
2/28/2025,-0.042183,-0.046524
3/31/2025,-0.078993,-0.056085
4/30/2025,0.004934,0.011884
5/30/2025,0.0929,0.056958
6/30/2025,0.072564,0.047222
7/31/2025,0.035116,0.016976
8/29/2025,0.005602,0.006781
9/30/2025,0.033117,0.033679
10/31/2025,0.025165,0
11/28/2025,-0.024547,-0.013534
12/31/2025,-0.018743,-0.001278
